1 ) a =-27
2 ) a =13,5
3 ) a =-1,62
4 ) a =0,0743877551020408
5 ) a =-0,0016530612244898
6 ) a =2,04924945184685E-05
7 ) a =-1,55902325161637E-07
8 ) a =7,79511625808187E-10
9 ) a =-2,69727206162002E-12
10 ) a =6,72450098464826E-15
11 ) a =-1,24758830884012E-17
12 ) a =1,76879249835556E-20
13 ) a =-1,95927784433231E-23
14 ) a =1,72775824015195E-26
15 ) a =-1,23264559344967E-29
16 ) a =7,21501713127407E-33
17 ) a =-3,50754357378419E-36
18 ) a =1,43165043827926E-39
19 ) a =-4,95361729441903E-43
20 ) a =1,46556724686953E-46
21 ) a =-3,736467868283E-50
22 ) a =8,26692826946924E-54
23 ) a =-1,59747406173319E-57
24 ) a =2,71187312426412E-61
25 ) a =-4,06611547161635E-65
26 ) a =5,41138604154425E-69
27 ) a =-6,42148575002284E-73
28 ) a =6,82330244984717E-77
29 ) a =-6,51762579983491E-81
30 ) a =5,61702884214442E-85
31 ) a =-4,38255928247695E-89
32 ) a =3,10555504710668E-93
33 ) a =-2,00466167645402E-97
34 ) a =1,18210233433924E-101
35 ) a =-6,38456567290977E-106
36 ) a =3,16631902048689E-110
37 ) a =-1,44527248580597E-114
38 ) a =6,0853578349725E-119
39 ) a =-2,36855008691536E-123
40 ) a =8,53907658317506E-128
41 ) a =-2,85692950020913E-132
42 ) a =8,88661893767225E-137
43 ) a =-2,57438063696951E-141
44 ) a =6,95703339360477E-146
45 ) a =-1,75660482100865E-150
46 ) a =4,15026629557391E-155
47 ) a =-9,18871365283042E-160
48 ) a =1,90901253175147E-164
49 ) a =-3,72659108100218E-169
50 ) a =6,84406075482493E-174
51 ) a =-1,18397747997456E-178
52 ) a =1,93155980041819E-183
53 ) a =-2,97506322744427E-188
54 ) a =4,33089240318553E-193
55 ) a =-5,96491443613864E-198
56 ) a =7,78059380692195E-203
57 ) a =-9,62107300195203E-208
58 ) a =1,12886587598681E-212
59 ) a =-1,25794345377908E-217
60 ) a =1,3324731167775E-222
61 ) a =-1,34276616541663E-227
62 ) a =1,28837113605249E-232
63 ) a =-1,17793932439085E-237
64 ) a =1,02701790248908E-242
65 ) a =-8,54530850346612E-248
66 ) a =6,79021817715601E-253
67 ) a =-5,15641844998571E-258
68 ) a =3,74467570805062E-263
69 ) a =-2,60235474409743E-268
70 ) a =1,73173472955976E-273
71 ) a =-1,10414803050246E-278
72 ) a =6,74940113515614E-284
73 ) a =-3,95775480699137E-289
74 ) a =2,22753740389217E-294
75 ) a =-1,20402003723733E-299
76 ) a =6,25329240819077E-305
77 ) a =-3,12232178841842E-310
78 ) a =1,49955420970127E-315
79 ) a =-6,93174101115269E-321
80 ) a =0
